,browserbite-svm-internal,browserbite-nn-internal,browserbite-dt-internal,browserbite-randomforest-internal,crosscheck-svm-internal,crosscheck-nn-internal,crosscheck-dt-internal,crosscheck-randomforest-internal,image_diff_extractor-cnn-internal,browserninja1-svm-internal,browserninja1-nn-internal,browserninja1-dt-internal,browserninja1-randomforest-internal
0,0.0784313725490196,0.2340425531914894,0.16,0.2083333333333333,0.4545454545454545,0.4375,0.1818181818181818,0.5789473684210525,0.1707317073170731,0.4761904761904762,0.6101694915254238,0.4090909090909091,0.5849056603773585
1,0.1057082452431289,0.0689655172413793,0.1372549019607843,0.0784313725490196,0.0816326530612244,0.0392156862745098,0.4057971014492754,0.4482758620689655,0.25,0.5714285714285715,0.6249999999999999,0.2941176470588235,0.5957446808510638
2,0.1153846153846153,0.119047619047619,0.1073170731707317,0.0839160839160839,0.0987654320987654,0.0847457627118644,0.2209302325581395,0.4854368932038834,0.1694915254237288,0.3724137931034482,0.5050505050505051,0.4597701149425287,0.7058823529411764
3,0.0909090909090909,0.1666666666666666,0.1785714285714285,0.2083333333333333,0.0606060606060606,0.0727272727272727,0.4347826086956521,0.456140350877193,0.0595744680851063,0.5428571428571429,0.6181818181818182,0.4096385542168674,0.5423728813559322
4,0.1976744186046511,0.1269841269841269,0.1791044776119402,0.0425531914893616,0.0350877192982456,0.0,0.4358974358974359,0.4999999999999999,0.2622950819672131,0.425,0.4411764705882353,0.4545454545454545,0.48484848484848486
5,0.079734219269103,0.2214983713355048,0.1524663677130044,0.3387096774193548,0.1287128712871287,0.1172161172161172,0.4680851063829787,0.5369127516778522,0.0627423334508283,0.5,0.5866666666666667,0.4680851063829787,0.6571428571428573
6,0.0950764006791171,0.16,0.0618556701030927,0.0206185567010309,0.1052631578947368,0.0869565217391304,0.3146067415730337,0.6376811594202899,0.1142857142857143,0.3448275862068966,0.35,0.4096385542168674,0.7868852459016393
7,0.0827586206896551,0.1333333333333333,0.2264150943396226,0.2891566265060241,0.1487603305785124,0.2068965517241379,0.2342342342342342,0.42,0.24,0.3728813559322034,0.4871794871794871,0.3428571428571429,0.6133333333333334
8,0.0876190476190476,0.2285714285714285,0.0185185185185185,0.2237762237762238,0.1217391304347826,0.12,0.3516483516483516,0.5230769230769231,0.2162162162162162,0.4266666666666667,0.4705882352941176,0.4269662921348314,0.463768115942029
9,0.0840336134453781,0.1964285714285714,0.1025641025641025,0.0314960629921259,0.3803680981595092,0.1575178997613365,0.4276729559748427,0.5714285714285714,0.2549019607843137,0.475,0.6164383561643835,0.6257668711656441,0.6666666666666666
